group,timepoint,subject_id,channel,region,feature,power_value
Control,Baseline,Sub_01,Fp1,prefrontal,delta,0.39721504
Control,Baseline,Sub_01,Fp1,prefrontal,theta,0.5643455
Control,Baseline,Sub_01,Fp1,prefrontal,alpha,0.27308226
Control,Baseline,Sub_01,Fp1,prefrontal,beta,0.74521625
Control,Baseline,Sub_01,Fp1,prefrontal,gamma,0.63131154
Control,Baseline,Sub_01,Fp1,prefrontal,broadband,0.4719131
Control,Baseline,Sub_01,Fp2,prefrontal,delta,0.48965302
Control,Baseline,Sub_01,Fp2,prefrontal,theta,0.56668186
Control,Baseline,Sub_01,Fp2,prefrontal,alpha,0.47531778
Control,Baseline,Sub_01,Fp2,prefrontal,beta,0.5082571
Control,Baseline,Sub_01,Fp2,prefrontal,gamma,0.65117615
Control,Baseline,Sub_01,Fp2,prefrontal,broadband,0.63491756
Control,Baseline,Sub_01,F7,frontal,delta,0.61650735
Control,Baseline,Sub_01,F7,frontal,theta,0.5640445
Control,Baseline,Sub_01,F7,frontal,alpha,0.5392374
Control,Baseline,Sub_01,F7,frontal,beta,0.4523372
Control,Baseline,Sub_01,F7,frontal,gamma,0.46823618
Control,Baseline,Sub_01,F7,frontal,broadband,0.63716465
Control,Baseline,Sub_01,F3,frontal,delta,0.6169529
Control,Baseline,Sub_01,F3,frontal,theta,0.29223877
Control,Baseline,Sub_01,F3,frontal,alpha,0.47026572
Control,Baseline,Sub_01,F3,frontal,beta,0.64050514
Control,Baseline,Sub_01,F3,frontal,gamma,0.53344053
Control,Baseline,Sub_01,F3,frontal,broadband,0.51811194
Control,Baseline,Sub_01,Fz,frontal,delta,0.70324254
Control,Baseline,Sub_01,Fz,frontal,theta,0.83262134
Control,Baseline,Sub_01,Fz,frontal,alpha,0.3950655
Control,Baseline,Sub_01,Fz,frontal,beta,0.7331961
Control,Baseline,Sub_01,Fz,frontal,gamma,0.35698068
Control,Baseline,Sub_01,Fz,frontal,broadband,0.54454273
Control,Baseline,Sub_01,F4,frontal,delta,0.42550474
Control,Baseline,Sub_01,F4,frontal,theta,0.7400153
Control,Baseline,Sub_01,F4,frontal,alpha,0.6942724
Control,Baseline,Sub_01,F4,frontal,beta,0.708761
Control,Baseline,Sub_01,F4,frontal,gamma,0.39955473
Control,Baseline,Sub_01,F4,frontal,broadband,0.6146084
Control,Baseline,Sub_01,F8,frontal,delta,0.5298913
Control,Baseline,Sub_01,F8,frontal,theta,0.49934548
Control,Baseline,Sub_01,F8,frontal,alpha,0.6198864
Control,Baseline,Sub_01,F8,frontal,beta,0.66351795
Control,Baseline,Sub_01,F8,frontal,gamma,0.5519707
Control,Baseline,Sub_01,F8,frontal,broadband,0.47079852
Control,Baseline,Sub_01,T3,central,delta,0.4228007
Control,Baseline,Sub_01,T3,central,theta,0.77984
Control,Baseline,Sub_01,T3,central,alpha,0.6244098
Control,Baseline,Sub_01,T3,central,beta,0.65745586
Control,Baseline,Sub_01,T3,central,gamma,0.84786415
Control,Baseline,Sub_01,T3,central,broadband,0.4359051
Control,Baseline,Sub_01,C3,central,delta,0.92554265
Control,Baseline,Sub_01,C3,central,theta,1.0259367
Control,Baseline,Sub_01,C3,central,alpha,0.7979951
Control,Baseline,Sub_01,C3,central,beta,0.6820791
Control,Baseline,Sub_01,C3,central,gamma,0.45955122
Control,Baseline,Sub_01,C3,central,broadband,0.6820571
Control,Baseline,Sub_01,Cz,central,delta,0.45850128
Control,Baseline,Sub_01,Cz,central,theta,0.55149585
Control,Baseline,Sub_01,Cz,central,alpha,0.5168406
Control,Baseline,Sub_01,Cz,central,beta,0.57310414
Control,Baseline,Sub_01,Cz,central,gamma,0.7331824
Control,Baseline,Sub_01,Cz,central,broadband,0.45731652
Control,Baseline,Sub_01,C4,central,delta,0.38922
Control,Baseline,Sub_01,C4,central,theta,0.41066593
Control,Baseline,Sub_01,C4,central,alpha,0.41326997
Control,Baseline,Sub_01,C4,central,beta,0.3118759
Control,Baseline,Sub_01,C4,central,gamma,0.42745298
Control,Baseline,Sub_01,C4,central,broadband,0.75137717
Control,Baseline,Sub_01,T4,central,delta,0.4499765
Control,Baseline,Sub_01,T4,central,theta,0.6097436
Control,Baseline,Sub_01,T4,central,alpha,0.3922489
Control,Baseline,Sub_01,T4,central,beta,0.5553692
Control,Baseline,Sub_01,T4,central,gamma,0.2830965
Control,Baseline,Sub_01,T4,central,broadband,0.47524858
Control,Baseline,Sub_01,T5,parietal,delta,0.86767924
Control,Baseline,Sub_01,T5,parietal,theta,0.4148558
Control,Baseline,Sub_01,T5,parietal,alpha,0.6748643
Control,Baseline,Sub_01,T5,parietal,beta,0.60253036
Control,Baseline,Sub_01,T5,parietal,gamma,0.5225719
Control,Baseline,Sub_01,T5,parietal,broadband,0.42959827
Control,Baseline,Sub_01,P3,parietal,delta,0.7303285
Control,Baseline,Sub_01,P3,parietal,theta,0.50776136
Control,Baseline,Sub_01,P3,parietal,alpha,0.76203734
Control,Baseline,Sub_01,P3,parietal,beta,0.43255064
Control,Baseline,Sub_01,P3,parietal,gamma,0.58235
Control,Baseline,Sub_01,P3,parietal,broadband,0.5964097
Control,Baseline,Sub_01,Pz,parietal,delta,0.60130376
Control,Baseline,Sub_01,Pz,parietal,theta,0.36524948
Control,Baseline,Sub_01,Pz,parietal,alpha,0.4597991
Control,Baseline,Sub_01,Pz,parietal,beta,0.49734542
Control,Baseline,Sub_01,Pz,parietal,gamma,0.3921791
Control,Baseline,Sub_01,Pz,parietal,broadband,0.62285316
Control,Baseline,Sub_01,P4,parietal,delta,0.6575047
Control,Baseline,Sub_01,P4,parietal,theta,0.2714686
Control,Baseline,Sub_01,P4,parietal,alpha,
Control,Baseline,Sub_01,P4,parietal,beta,0.35210815
Control,Baseline,Sub_01,P4,parietal,gamma,0.5084268
Control,Baseline,Sub_01,P4,parietal,broadband,0.8097446
Control,Baseline,Sub_01,T6,parietal,delta,0.51375586
Control,Baseline,Sub_01,T6,parietal,theta,0.5684988
Control,Baseline,Sub_01,T6,parietal,alpha,0.38267055
Control,Baseline,Sub_01,T6,parietal,beta,0.37226927
Control,Baseline,Sub_01,T6,parietal,gamma,0.22892354
Control,Baseline,Sub_01,T6,parietal,broadband,0.5496653
